 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
 -0.7324 -0.5365 -0.3908 -0.2826 -0.1982 -0.0413  0.0711  0.1511  0.2049  0.2384
  0.2565
 -2.8882 -2.6951 -2.5117 -2.3334 -2.1571 -1.9789 -1.7823 -1.5170 -1.2285 -0.9571
 -0.7228 -0.5333 -0.3874 -0.2780 -0.1939 -0.0415  0.0662  0.1428  0.1941  0.2261
  0.2433  0.2507
 -2.7130 -2.5272 -2.3575 -2.1891 -2.0129 -1.8306 -1.6401 -1.4210 -1.1725 -0.9304
 -0.7144 -0.5332 -0.3885 -0.2774 -0.1923 -0.0425  0.0616  0.1356  0.1848  0.2154
  0.2316  0.2380  0.2384  0.2344
 -2.5831 -2.3486 -2.1450 -1.9691 -1.8112 -1.6584 -1.4939 -1.3097 -1.1046 -0.8953
 -0.7006 -0.5308 -0.3898 -0.2780 -0.1915 -0.0427  0.0585  0.1301  0.1778  0.2069
  0.2218  0.2267  0.2257  0.2210  0.2131  0.2019  0.1865  0.1650  0.1364  0.1069
 -2.5391 -2.2689 -2.0202 -1.7995 -1.6072 -1.4356 -1.2757 -1.1208 -0.9638 -0.8087
 -0.6574 -0.5146 -0.3861 -0.2779 -0.1901 -0.0411  0.0577  0.1272  0.1735  0.2013
  0.2147  0.2177  0.2144  0.2078  0.1990  0.1879  0.1742  0.1567  0.1337  0.1032
  0.0709
 -2.5478 -2.2599 -1.9823 -1.7253 -1.4963 -1.2967 -1.1205 -0.9597 -0.8080 -0.6669
 -0.5445 -0.4413 -0.3496 -0.2641 -0.1852 -0.0374  0.0596  0.1272  0.1723  0.1991
  0.2111  0.2120  0.2057  0.1962  0.1851  0.1728  0.1588  0.1428  0.1229  0.0991
  0.0679
 -2.5717 -2.2816 -1.9924 -1.7130 -1.4560 -1.2298 -1.0347 -0.8652 -0.7151 -0.5801
 -0.4602 -0.3582 -0.2762 -0.2107 -0.1538 -0.0291  0.0654  0.1311  0.1748  0.2006
  0.2113  0.2103  0.2010  0.1876  0.1730  0.1580  0.1423  0.1259  0.1078  0.0868
  0.0609
 -2.5885 -2.3086 -2.0208 -1.7347 -1.4629 -1.2176 -1.0049 -0.8240 -0.6696 -0.5364
 -0.4205 -0.3204 -0.2358 -0.1666 -0.1113 -0.0096  0.0739  0.1374  0.1800  0.2052
  0.2153  0.2130  0.2012  0.1840  0.1650  0.1462  0.1274  0.1090  0.0901  0.0699
  0.0473
 -2.5856 -2.3156 -2.0383 -1.7570 -1.4835 -1.2302 -1.0069 -0.8159 -0.6549 -0.5189
 -0.4031 -0.3038 -0.2190 -0.1473 -0.0875  0.0174  0.0903  0.1474  0.1881  0.2127
  0.2226  0.2197  0.2064  0.1860  0.1627  0.1391  0.1161  0.0942  0.0728  0.0513
  0.0292
 -2.5715 -2.3047 -2.0357 -1.7665 -1.4994 -1.2485 -1.0229 -0.8266 -0.6603 -0.5204
 -0.4022 -0.3015 -0.2152 -0.1413 -0.0824  0.0519  0.1146  0.1611  0.1991
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  R   
 -3.6816 -3.5401 -3.4035 -3.2663 -3.1098 -2.8984 -2.5988 -2.1844 -1.6747 -1.2180
 -0.8692 -0.6207 -0.4465 -0.3207 -0.2237 -0.0464  0.0809  0.1737  0.2386
 -3.4252 -3.2661 -3.1181 -2.9770 -2.8346 -2.6681 -2.4139 -2.0103 -1.5693 -1.1614
 -0.8337 -0.5921 -0.4204 -0.2971 -0.2038 -0.0361  0.0826  0.1679  0.2266  0.2638
 -3.2342 -3.0568 -2.8936 -2.7411 -2.5952 -2.4403 -2.2264 -1.8880 -1.5072 -1.1406
 -0.8303 -0.5906 -0.4154 -0.2896 -0.1962 -0.0334  0.0797  0.1604  0.2154  0.2506
  0.2702
 -3.0919 -2.8995 -2.7215 -2.5546 -2.3965 -2.2404 -2.0614 -1.7844 -1.4567 -1.1296
 -0.8387 -0.6026 -0.4229 -0.2916 -0.1953 -0.0341  0.0751  0.1528  0.2052  0.2387
  0.2577  0.2658
 -2.9453 -2.7584 -2.5792 -2.4065 -2.2383 -2.0723 -1.9027 -1.6827 -1.4044 -1.1152
 -0.8471 -0.6188 -0.4370 -0.2997 -0.1985 -0.0357  0.0706  0.1459  0.1965  0.2286
  0.2467  0.2542  0.2546  0.2507
 -2.7439 -2.5450 -2.3775 -2.2285 -2.0820 -1.9267 -1.7574 -1.5719 -1.3415 -1.0903
 -0.8478 -0.6322 -0.4525 -0.3111 -0.2045 -0.0370  0.0675  0.1407  0.1899  0.2206
  0.2377  0.2441  0.2433  0.2379  0.2290  0.2165  0.1995  0.1765  0.1472  0.1172
 -2.6474 -2.4003 -2.1843 -2.0022 -1.8469 -1.7064 -1.5679 -1.4141 -1.2355 -1.0346
 -0.8285 -0.6348 -0.4644 -0.3231 -0.2121 -0.0373  0.0662  0.1376  0.1856  0.2152
