 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -5.2533 -5.0325 -4.8268 -4.6302 -4.4377 -4.2421 -4.0302 -3.7762 -3.5102 -3.2615
 -3.0355 -2.8264 -2.6254 -2.4296 -2.2432 -1.8473 -1.5407 -1.2924 -1.0819 -0.8981
 -0.7373 -0.5988
 -5.1267 -4.8403 -4.5952 -4.3740 -4.1669 -3.9699 -3.7766 -3.5696 -3.3466 -3.1303
 -2.9292 -2.7414 -2.5595 -2.3779 -2.1983 -1.8037 -1.4998 -1.2593 -1.0595 -0.8881
 -0.7393 -0.6107 -0.4995 -0.4013
 -5.1445 -4.7738 -4.4552 -4.1859 -3.9584 -3.7622 -3.5813 -3.4026 -3.2131 -3.0226
 -2.8412 -2.6706 -2.5063 -2.3418 -2.1734 -1.7815 -1.4763 -1.2397 -1.0472 -0.8848
 -0.7456 -0.6258 -0.5224 -0.4313 -0.3491 -0.2742 -0.2057 -0.1405 -0.0819 -0.0443
 -5.2454 -4.8181 -4.4414 -4.1161 -3.8406 -3.6080 -3.4109 -3.2438 -3.0928 -2.9410
 -2.7817 -2.6212 -2.4652 -2.3126 -2.1588 -1.7752 -1.4656 -1.2295 -1.0415 -0.8855
 -0.7540 -0.6419 -0.5458 -0.4617 -0.3859 -0.3166 -0.2534 -0.1950 -0.1403 -0.0926
 -0.0640
 -5.4215 -4.9401 -4.5155 -4.1467 -3.8306 -3.5640 -3.3399 -3.1505 -2.9870 -2.8426
 -2.7118 -2.5839 -2.4464 -2.2996 -2.1509 -1.7812 -1.4656 -1.2263 -1.0402 -0.8885
 -0.7625 -0.6569 -0.5676 -0.4904 -0.4215 -0.3584 -0.3005 -0.2471 -0.1982 -0.1536
 -0.1171
 -5.6871 -5.1365 -4.6606 -4.2480 -3.8948 -3.5957 -3.3439 -3.1317 -2.9512 -2.7945
 -2.6545 -2.5263 -2.4052 -2.2830 -2.1503 -1.7931 -1.4720 -1.2268 -1.0399 -0.8910
 -0.7689 -0.6682 -0.5847 -0.5142 -0.4525 -0.3965 -0.3449 -0.2969 -0.2527 -0.2126
 -0.1773
 -6.0043 -5.4143 -4.8850 -4.4250 -4.0309 -3.6967 -3.4149 -3.1767 -2.9739 -2.7994
 -2.6460 -2.5074 -2.3785 -2.2555 -2.1352 -1.8149 -1.4923 -1.2372 -1.0458 -0.8968
 -0.7767 -0.6788 -0.5993 -0.5343 -0.4793 -0.4305 -0.3861 -0.3446 -0.3060 -0.2706
 -0.2387
 -6.3132 -5.7072 -5.1555 -4.6573 -4.2240 -3.8537 -3.5396 -3.2729 -3.0448 -2.8479
 -2.6755 -2.5218 -2.3817 -2.2506 -2.1255 -1.8252 -1.5223 -1.2560 -1.0560 -0.9041
 -0.7841 -0.6875 -0.6101 -0.5488 -0.4993 -0.4574 -0.4205 -0.3863 -0.3544 -0.3247
 -0.2975
 -6.5390 -5.9636 -5.4132 -4.9065 -4.4496 -4.0510 -3.7078 -3.4126 -3.1581 -2.9368
 -2.7424 -2.5695 -2.4136 -2.2707 -2.1212 -1.8240 -1.5620 -1.2832 -1.0705
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = BX   
 -6.6484 -6.5390 -6.4236 -6.2900 -6.0970 -5.8186 -5.4375 -4.9403 -4.3692 -3.9074
 -3.5536 -3.2677 -3.0233 -2.8072 -2.6125 -2.1989 -1.8551 -1.5519 -1.2750
 -6.1236 -5.9990 -5.8727 -5.7347 -5.5684 -5.3471 -5.0251 -4.5630 -4.0875 -3.6820
 -3.3556 -3.0850 -2.8494 -2.6380 -2.4464 -2.0423 -1.7161 -1.4384 -1.1930 -0.9731
 -5.6907 -5.5474 -5.4064 -5.2612 -5.1002 -4.9041 -4.6403 -4.2709 -3.8745 -3.5169
 -3.2159 -2.9603 -2.7341 -2.5278 -2.3386 -1.9389 -1.6229 -1.3615 -1.1361 -0.9369
 -0.7604
 -5.3638 -5.1935 -5.0310 -4.8716 -4.7080 -4.5284 -4.3129 -4.0235 -3.6956 -3.3836
 -3.1095 -2.8710 -2.6564 -2.4574 -2.2713 -1.8729 -1.5617 -1.3104 -1.0983 -0.9140
 -0.7517 -0.6098
 -5.1771 -4.9547 -4.7570 -4.5733 -4.3959 -4.2178 -4.0291 -3.8028 -3.5353 -3.2668
 -3.0209 -2.8013 -2.6010 -2.4121 -2.2314 -1.8336 -1.5231 -1.2777 -1.0746 -0.9010
 -0.7501 -0.6181 -0.5035 -0.4030
 -5.1478 -4.8382 -4.5804 -4.3616 -4.1645 -3.9775 -3.7942 -3.6046 -3.3878 -3.1594
 -2.9413 -2.7414 -2.5567 -2.3808 -2.2089 -1.8138 -1.5008 -1.2579 -1.0609 -0.8951
 -0.7531 -0.6299 -0.5231 -0.4295 -0.3458 -0.2706 -0.2011 -0.1352 -0.0773 -0.0401
 -5.2276 -4.8446 -4.5101 -4.2251 -3.9829 -3.7742 -3.5913 -3.4242 -3.2514 -3.0625
 -2.8708 -2.6886 -2.5181 -2.3559 -2.1958 -1.8087 -1.4911 -1.2475 -1.0542 -0.8940
 -0.7588 -0.6431 -0.5436 -0.4568 -0.3797 -0.3098 -0.2464 -0.1881 -0.1334 -0.0865
 -0.0584
 -5.3790 -4.9394 -4.5485 -4.2065 -3.9130 -3.6627 -3.4480 -3.2624 -3.0991 -2.9469
 -2.7985 -2.6466 -2.4909 -2.3370 -2.1868 -1.8152 -1.4922 -1.2446 -1.0522 -0.8959
 -0.7657 -0.6560 -0.5629 -0.4829 -0.4125 -0.3490 -0.2913 -0.2381 -0.1890 -0.1454
 -0.1088
 -5.6115 -5.1110 -4.6662 -4.2757 -3.9371 -3.6473 -3.4012 -3.1919 -3.0116 -2.8525
 -2.7090 -2.5777 -2.4523 -2.3223 -2.1831 -1.8265 -1.5000 -1.2459 -1.0518 -0.8976
 -0.7710 -0.6660 -0.5785 -0.5049 -0.4413 -0.3846 -0.3331 -0.2857 -0.2422 -0.2029
 -0.1684
 -5.9503 -5.3815 -4.8752 -4.4318 -4.0474 -3.7180 -3.4380 -3.2007 -2.9990 -2.8255
 -2.6729 -2.5355 -2.4088 -2.2889 -2.1701 -1.8464 -1.5211 -1.2576 -1.0584 -0.9033
 -0.7784 -0.6762 -0.5927 -0.5241 -0.4667 -0.4169 -0.3724 -0.3314 -0.2935 -0.2591
 -0.2282
 -6.3313 -5.7207 -5.1646 -4.6660 -4.2329 -3.8603 -3.5432 -3.2742 -3.0457 -2.8504
 -2.6812 -2.5319 -2.3967 -2.2709 -2.1509 -1.8578 -1.5513 -1.2776 -1.0697 -0.9110
 -0.7859 -0.6850 -0.6037 -0.5387 -0.4863 -0.4428 -0.4053 -0.3714 -0.3401 -0.3114
 -0.2882
 -6.7545 -6.0540 -5.4800 -4.9533 -4.4790 -4.0654 -3.7097 -3.4060 -3.1472 -2.9253
