 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -3.8635 -3.7239 -3.5587 -3.3635 -3.1402 -2.5654 -2.0730 -1.6639 -1.3227 -1.0463
 -0.8303 -0.6693 -0.5554 -0.4749 -0.4157 -0.3692 -0.3303 -0.2950 -0.2604 -0.2249
 -5.4824 -5.1552 -4.8693 -4.6248 -4.4229 -4.2603 -4.1324 -4.0358 -3.9582 -3.8704
 -3.7547 -3.6139 -3.4542 -3.2748 -3.0736 -2.5152 -2.0218 -1.6163 -1.2797 -1.0051
 -0.7899 -0.6282 -0.5138 -0.4354 -0.3808 -0.3410 -0.3100 -0.2844 -0.2614 -0.2385
 -0.2133
 -5.8764 -5.4772 -5.1300 -4.8274 -4.5658 -4.3444 -4.1601 -4.0081 -3.8825 -3.7748
 -3.6721 -3.5576 -3.4133 -3.2386 -3.0447 -2.5075 -2.0077 -1.5983 -1.2614 -0.9844
 -0.7648 -0.5979 -0.4784 -0.3975 -0.3438 -0.3074 -0.2821 -0.2632 -0.2477 -0.2349
 -0.2209
 -6.4300 -5.9121 -5.4799 -5.1081 -4.7863 -4.5081 -4.2692 -4.0661 -3.8933 -3.7438
 -3.6083 -3.4787 -3.3482 -3.2065 -3.0391 -2.5293 -2.0219 -1.6029 -1.2612 -0.9796
 -0.7524 -0.5766 -0.4481 -0.3608 -0.3046 -0.2691 -0.2470 -0.2330 -0.2240 -0.2177
 -0.2127
 -7.1810 -6.5403 -5.9869 -5.5161 -5.1133 -4.7668 -4.4676 -4.2085 -3.9842 -3.7891
 -3.6159 -3.4565 -3.3040 -3.1542 -3.0030 -2.5679 -2.0721 -1.6382 -1.2865 -0.9972
 -0.7600 -0.5719 -0.4303 -0.3313 -0.2673 -0.2284 -0.2063 -0.1947 -0.1898 -0.1890
 -0.1901
 -8.1190 -7.3531 -6.6783 -6.0876 -5.5788 -5.1423 -4.7662 -4.4405 -4.1567 -3.9089
 -3.6903 -3.4943 -3.3141 -3.1438 -2.9793 -2.5749 -2.1345 -1.6969 -1.3302 -1.0305
 -0.7826 -0.5815 -0.4251 -0.3111 -0.2347 -0.1879 -0.1621 -0.1500 -0.1468 -0.1494
 -0.1552
 -9.1211 -8.2730 -7.4968 -6.8038 -6.1883 -5.6510 -5.1836 -4.7765 -4.4216 -4.1113
 -3.8387 -3.5975 -3.3810 -3.1834 -2.9680 -2.5503 -2.2091 -1.7790 -1.3923
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = UX   
 -6.2182 -6.2492 -6.2700 -6.2767 -6.2659 -6.2320 -6.1696 -6.0746 -5.9460 -5.7907
 -5.6125 -5.4100 -5.1814 -4.9293 -4.6613 -3.9825 -3.3372 -2.7432 -2.2090
 -5.6678 -5.6967 -5.7173 -5.7261 -5.7193 -5.6934 -5.6440 -5.5646 -5.4540 -5.3127
 -5.1415 -4.9409 -4.7120 -4.4599 -4.1946 -3.5402 -2.9409 -2.4088 -1.9486 -1.5644
 -5.1939 -5.2145 -5.2314 -5.2398 -5.2355 -5.2151 -5.1747 -5.1092 -5.0155 -4.8916
 -4.7366 -4.5505 -4.3343 -4.0935 -3.8388 -3.2141 -2.6537 -2.1657 -1.7512 -1.4100
 -1.1371
 -4.8327 -4.8292 -4.8330 -4.8356 -4.8304 -4.8129 -4.7790 -4.7242 -4.6450 -4.5386
 -4.4030 -4.2370 -4.0403 -3.8166 -3.5756 -2.9774 -2.4464 -1.9890 -1.6033 -1.2890
 -1.0391 -0.8476
 -4.6951 -4.6012 -4.5522 -4.5284 -4.5125 -4.4925 -4.4612 -4.4135 -4.3455 -4.2542
 -4.1368 -3.9917 -3.8171 -3.6136 -3.3879 -2.8114 -2.2997 -1.8631 -1.4956 -1.1969
 -0.9611 -0.7808 -0.6482 -0.5495
