 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -4.2485 -3.9725 -3.7142 -3.4708 -3.2372 -3.0167 -2.8137 -2.6294 -2.4617 -2.3052
 -2.1562 -2.0134 -1.8773 -1.7487 -1.6284 -1.3495 -1.0945 -0.8907 -0.7390 -0.6243
 -0.5361 -0.4679 -0.4147 -0.3715 -0.3338 -0.2991 -0.2664 -0.2350 -0.2053 -0.1779
 -0.1538
 -4.2514 -3.9576 -3.7032 -3.4670 -3.2416 -3.0253 -2.8217 -2.6337 -2.4627 -2.3061
 -2.1600 -2.0205 -1.8858 -1.7559 -1.6322 -1.3571 -1.1144 -0.9057 -0.7457 -0.6270
 -0.5376 -0.4699 -0.4190 -0.3803 -0.3490 -0.3215 -0.2961 -0.2716 -0.2477 -0.2250
 -0.2040
 -4.2735 -3.9574 -3.6942 -3.4607 -3.2411 -3.0321 -2.8331 -2.6446 -2.4700 -2.3101
 -2.1634 -2.0264 -1.8956 -1.7689 -1.6457 -1.3660 -1.1288 -0.9237 -0.7570
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F475W
 -5.5303 -5.1543 -4.7058 -4.2930 -3.9156 -3.5898 -3.3271 -3.0966 -2.8836 -2.6826
 -2.4957 -2.3225 -2.1637 -2.0191 -1.8869 -1.5956 -1.3350 -1.0893 -0.8616
 -5.0064 -4.8977 -4.5958 -4.2048 -3.8322 -3.4910 -3.2093 -2.9703 -2.7542 -2.5527
 -2.3650 -2.1912 -2.0320 -1.8875 -1.7567 -1.4763 -1.2350 -1.0153 -0.8156 -0.6410
 -4.6886 -4.4390 -4.3423 -4.1350 -3.7952 -3.4584 -3.1533 -2.8995 -2.6794 -2.4775
 -2.2897 -2.1150 -1.9542 -1.8080 -1.6759 -1.3978 -1.1671 -0.9642 -0.7839 -0.6261
 -0.4923
 -4.5774 -4.2394 -3.9885 -3.8487 -3.7226 -3.4517 -3.1494 -2.8750 -2.6441 -2.4402
 -2.2526 -2.0772 -1.9147 -1.7658 -1.6310 -1.3496 -1.1231 -0.9305 -0.7636 -0.6189
 -0.4954 -0.3903
 -4.5185 -4.1708 -3.8676 -3.6234 -3.4413 -3.3175 -3.1450 -2.8903 -2.6426 -2.4299
 -2.2415 -2.0659 -1.9018 -1.7501 -1.6118 -1.3232 -1.0963 -0.9092 -0.7514 -0.6168
 -0.5022 -0.4043 -0.3196 -0.2449
 -4.4836 -4.1413 -3.8281 -3.5532 -3.3214 -3.1256 -2.9668 -2.8334 -2.6580 -2.4441
 -2.2485 -2.0724 -1.9071 -1.7530 -1.6111 -1.3130 -1.0817 -0.8965 -0.7444 -0.6173
 -0.5104 -0.4194 -0.3409 -0.2714 -0.2091 -0.1524 -0.1006 -0.0553 -0.0187  0.0049
 -4.4657 -4.1310 -3.8184 -3.5340 -3.2837 -3.0666 -2.8747 -2.7028 -2.5558 -2.4203
 -2.2611 -2.0906 -1.9252 -1.7693 -1.6241 -1.3153 -1.0766 -0.8898 -0.7405 -0.6189
 -0.5184 -0.4339 -0.3616 -0.2979 -0.2404 -0.1878 -0.1403 -0.0970 -0.0584 -0.0287
 -0.0152
 -4.4577 -4.1335 -3.8246 -3.5378 -3.2783 -3.0498 -2.8484 -2.6659 -2.4976 -2.3441
 -2.2079 -2.0788 -1.9399 -1.7924 -1.6470 -1.3281 -1.0797 -0.8882 -0.7392 -0.6204
 -0.5245 -0.4458 -0.3797 -0.3223 -0.2706 -0.2230 -0.1779 -0.1366 -0.1009 -0.0722
 -0.0512
 -4.4612 -4.1401 -3.8372 -3.5515 -3.2880 -3.0509 -2.8412 -2.6543 -2.4832 -2.3228
 -2.1733 -2.0367 -1.9112 -1.7886 -1.6614 -1.3471 -1.0882 -0.8895 -0.7381 -0.6202
 -0.5273 -0.4532 -0.3928 -0.3418 -0.2966 -0.2551 -0.2166 -0.1806 -0.1476 -0.1190
 -0.0949
 -4.4788 -4.1564 -3.8594 -3.5777 -3.3131 -3.0704 -2.8525 -2.6586 -2.4847 -2.3244
 -2.1734 -2.0310 -1.8978 -1.7731 -1.6553 -1.3707 -1.1079 -0.8993 -0.7422 -0.6225
 -0.5301 -0.4582 -0.4020 -0.3567 -0.3182 -0.2835 -0.2513 -0.2209 -0.1923 -0.1661
 -0.1433
 -4.5108 -4.1763 -3.8823 -3.6066 -3.3454 -3.1007 -2.8765 -2.6748 -2.4946 -2.3319
 -2.1815 -2.0397 -1.9046 -1.7762 -1.6544 -1.3810 -1.1322 -0.9163 -0.7504 -0.6262
 -0.5322 -0.4607 -0.4066 -0.3655 -0.3328 -0.3050 -0.2799 -0.2561 -0.2333 -0.2118
 -0.1916
