 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.4250 -3.1658 -3.0163 -2.9340 -2.7254 -2.4544 -2.2027 -1.9918 -1.8110 -1.6472
 -1.4946 -1.3538 -1.2258 -1.1107 -1.0076 -0.7927 -0.6197 -0.4762 -0.3577 -0.2619
 -0.1840
 -3.3337 -3.0416 -2.8034 -2.6269 -2.5234 -2.4010 -2.1832 -1.9606 -1.7707 -1.6072
 -1.4570 -1.3179 -1.1909 -1.0764 -0.9738 -0.7620 -0.5953 -0.4606 -0.3519 -0.2648
 -0.1939 -0.1338
 -3.2849 -2.9872 -2.7282 -2.5076 -2.3251 -2.1836 -2.0821 -1.9436 -1.7581 -1.5859
 -1.4370 -1.2997 -1.1734 -1.0590 -0.9563 -0.7447 -0.5809 -0.4513 -0.3492 -0.2690
 -0.2044 -0.1496 -0.1014 -0.0580
 -3.2663 -2.9646 -2.6967 -2.4626 -2.2582 -2.0814 -1.9311 -1.8080 -1.7047 -1.5757
 -1.4299 -1.2928 -1.1669 -1.0525 -0.9492 -0.7360 -0.5725 -0.4456 -0.3477 -0.2728
 -0.2141 -0.1648 -0.1213 -0.0821 -0.0459 -0.0139  0.0125  0.0321  0.0439  0.0463
 -3.2736 -2.9671 -2.6912 -2.4480 -2.2356 -2.0506 -1.8857 -1.7367 -1.6058 -1.4967
 -1.3971 -1.2872 -1.1682 -1.0532 -0.9487 -0.7330 -0.5679 -0.4415 -0.3459 -0.2746
 -0.2210 -0.1777 -0.1396 -0.1049 -0.0730 -0.0427 -0.0157  0.0058  0.0203  0.0262
  0.0220
 -3.2981 -2.9910 -2.7078 -2.4545 -2.2323 -2.0388 -1.8692 -1.7167 -1.5772 -1.4506
 -1.3393 -1.2431 -1.1508 -1.0535 -0.9534 -0.7338 -0.5659 -0.4382 -0.3430 -0.2738
 -0.2241 -0.1865 -0.1545 -0.1255 -0.0981 -0.0724 -0.0471 -0.0246 -0.0077  0.0013
  0.0011
 -3.3401 -3.0272 -2.7412 -2.4790 -2.2452 -2.0414 -1.8642 -1.7082 -1.5676 -1.4383
 -1.3199 -1.2135 -1.1183 -1.0311 -0.9462 -0.7367 -0.5645 -0.4343 -0.3383 -0.2696
 -0.2221 -0.1892 -0.1636 -0.1410 -0.1195 -0.0988 -0.0791 -0.0618 -0.0470 -0.0346
 -0.0242
 -3.4015 -3.0824 -2.7915 -2.5257 -2.2821 -2.0652 -1.8766 -1.7127 -1.5683 -1.4381
 -1.3187 -1.2091 -1.1090 -1.0176 -0.9337 -0.7418 -0.5687 -0.4338 -0.3350 -0.2649
 -0.2175 -0.1870 -0.1665 -0.1505 -0.1358 -0.1213 -0.1070 -0.0928 -0.0792 -0.0672
 -0.0583
 -3.4801 -3.1401 -2.8486 -2.5830 -2.3367 -2.1098 -1.9075 -1.7311 -1.5781 -1.4433
 -1.3222 -1.2117 -1.1100 -1.0163 -0.9299 -0.7411 -0.5758 -0.4364 -0.3331 -0.2602
 -0.2113 -0.1809 -0.1634 -0.1527 -0.1447 -0.1371 -0.1293 -0.1209 -0.1121 -0.1034
 -0.0958
 -3.5775 -3.2122 -2.9099 -2.6440 -2.3973 -2.1682 -1.9579 -1.7681 -1.6019 -1.4574
 -1.3305 -1.2173 -1.1144 -1.0197 -0.9320 -0.7407 -0.5797 -0.4420 -0.3336
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F555W
 -4.1446 -3.8294 -3.4395 -3.0897 -2.7725 -2.4990 -2.2809 -2.0922 -1.9193 -1.7563
 -1.6044 -1.4637 -1.3350 -1.2184 -1.1127 -0.8860 -0.6952 -0.5275 -0.3811
 -3.7145 -3.6276 -3.3612 -3.0227 -2.7096 -2.4266 -2.1952 -2.0008 -1.8267 -1.6649
 -1.5144 -1.3753 -1.2485 -1.1343 -1.0315 -0.8162 -0.6405 -0.4904 -0.3619 -0.2554
 -3.4467 -3.2326 -3.1558 -2.9761 -2.6830 -2.4020 -2.1526 -1.9476 -1.7713 -1.6107
 -1.4619 -1.3241 -1.1983 -1.0849 -0.9832 -0.7729 -0.6056 -0.4664 -0.3500 -0.2539
 -0.1755
 -3.3666 -3.0683 -2.8511 -2.7337 -2.6293 -2.3982 -2.1473 -1.9256 -1.7417 -1.5807
 -1.4335 -1.2971 -1.1719 -1.0585 -0.9567 -0.7476 -0.5845 -0.4519 -0.3436 -0.2555
 -0.1838 -0.1235
 -3.3417 -3.0227 -2.7548 -2.5422 -2.3860 -2.2843 -2.1427 -1.9330 -1.7342 -1.5669
 -1.4205 -1.2853 -1.1606 -1.0470 -0.9446 -0.7342 -0.5724 -0.4435 -0.3406 -0.2584
 -0.1926 -0.1375 -0.0894 -0.0464
 -3.3516 -3.0191 -2.7325 -2.4892 -2.2871 -2.1188 -1.9860 -1.8794 -1.7399 -1.5697
 -1.4175 -1.2830 -1.1588 -1.0450 -0.9418 -0.7287 -0.5659 -0.4386 -0.3390 -0.2613
 -0.2006 -0.1508 -0.1074 -0.0685 -0.0337 -0.0032  0.0227  0.0421  0.0534  0.0552
 -3.3919 -3.0462 -2.7434 -2.4832 -2.2616 -2.0724 -1.9080 -1.7643 -1.6453 -1.5400
 -1.4177 -1.2877 -1.1634 -1.0491 -0.9451 -0.7284 -0.5631 -0.4356 -0.3375 -0.2629
 -0.2064 -0.1619 -0.1239 -0.0896 -0.0583 -0.0299 -0.0050  0.0156  0.0305  0.0359
  0.0310
