 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.4668 -8.4968 -7.6254 -6.9049 -6.3400 -5.9080 -5.5753 -5.3028 -5.0576 -4.8257
 -4.6117 -4.4177 -4.2335 -4.0353 -3.8088 -3.1701 -2.6018 -2.1353 -1.7358 -1.3883
 -1.1030 -0.8898 -0.7334 -0.6133 -0.5153 -0.4322 -0.3591 -0.2954 -0.2410 -0.1960
 -0.1603
 -9.8698 -8.9151 -8.0068 -7.2036 -6.5409 -6.0180 -5.6100 -5.2860 -5.0148 -4.7680
 -4.5324 -4.3073 -4.0979 -3.9059 -3.7199 -3.2066 -2.6463 -2.1695 -1.7692 -1.4253
 -1.1406 -0.9242 -0.7671 -0.6504 -0.5586 -0.4829 -0.4188 -0.3637 -0.3164 -0.2762
 -0.2426
-10.2434 -9.3439 -8.4605 -7.6107 -6.8650 -6.2470 -5.7539 -5.3623 -5.0447 -4.7741
 -4.5279 -4.2917 -4.0622 -3.8448 -3.6435 -3.1829 -2.7046 -2.2283 -1.8212 -1.4757
 -1.1885 -0.9657 -0.8034 -0.6865 -0.5988 -0.5294 -0.4726 -0.4247 -0.3840 -0.3497
 -0.3217
-10.5430 -9.7563 -8.9197 -8.0774 -7.2844 -6.5851 -6.0012 -5.5292 -5.1489 -4.8353
 -4.5654 -4.3196 -4.0836 -3.8536 -3.6330 -3.1479 -2.7211 -2.2906 -1.8831 -1.5328
 -1.2410 -1.0103 -0.8395 -0.7181 -0.6317 -0.5674 -0.5175 -0.4769 -0.4436 -0.4163
 -0.3941
-10.7677-10.0811 -9.3282 -8.5424 -7.7572 -7.0147 -6.3529 -5.7959 -5.3376 -4.9628
 -4.6514 -4.3816 -4.1360 -3.9019 -3.6737 -3.1514 -2.7207 -2.3297 -1.9458
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F390M
